0,1
1,3,5,7,13,22,32
2,7,8,34
3,2,3,9,15,17,21,27,29,31,32,33
4,3,4,8,19,20,22,26,31,33
5,2,8,16,19,21,24,30,32,33
6,1,3,9,21,25,26,27,33
7,3,8,12,14,18,20,23,24,29,34
8,2,4,9,10,14,20,21,23,24,26,30
9,1,3,13,26,30,31,32
10,1,3,5,13,14,22,26,27,29,33
11,1,2,5,7,9,10,11,12,18,25,28,34
12,1,9,11,15,16,17,25,26,31
13,1,2,7,11,13,20,24,31,32,33
14,1,2,3,4,5,7,9,16,28,30
15,2,4,8,11,13,14,22,28,31
16,3,4,6,9,20
17,1,3,7,11,13,17,28
18,3,9,11,12,14,18,22,25,32,33
19,2,3,10,21,24,25,30,31,33,34
20,2,3,8,14,18,20,23,26,30,31
21,1,3,4,20,22,27,29,33
22,11,13,15,16,18,19,21,22,28,32
23,3,4,5,24
24,2,7,13,26,33,34
25,1,3,4,5,9,14,15,21,22,27,30,31,33
26,1,7,10,15,18,19,22,23,31,32,33,34
27,3,4,6,7,8,9,13,15,18,21,24,28,29,33
28,4,5,6,7,16,17,21,23,24,25,28
29,6,11
30,1,5
31,1,4,5,6,14,20
32,4,9,18,20,32
33,1,8,26,29,33
34,1,2,4,7,11,14,21,23,24,30
35,13,14,22,32,33
36,9,21,23,26,33
37,24,25,31,32,33,34
38,2,15,16,19,24,32
39,4,18,20,26,33
40,19,21,30,32
41,27
42,30,34
43,15,19,24,28,32,34
44,9,15,20,23,26,29,30,31
45,3,9,24
46,14,30
47,1,3
48,5,8,9,11,13,20,32,33
49,15,16,24,25,30,34
50,10,23,24,27,32,33
51,3,16,21,23,29,30,33
52,2,3,4,8,9,10,24,29,34
53,2,9,15,20,27,31
54,1,9,20,22
55,4,7,9,14,31
56,2,3,9,31,34
57,9,20,23,30,33,34
58,9,14,20,23,27,28,29,30
59,1,4,27
60,2,3,4,6,11,14,18,30,32
61,1,2,4,7,9,18,25,28,29,34
62,2,5,8,11,13,16,18,19,21,23,24,32,34
63,1,2,11,24,27,29,30,31
64,1,2,7,8,11,20,24
65,4,5,7,22
66,2,6,8,14
67,2,3,7
68,3,6,20
69,1,8,9,10,14,29,33,34
70,1,5,6,9,10,13,15,18,23,24,28,33,34
71,2,4,10,11,12,17,26,29,33
72,3,7,13,15,18,22,25,30,31
73,6,10,17,26,27,28,33,34
74,3,6,7,14,15,16,20,24,32
75,1,4,7,25,26,29,33
76,1,3,4,6,7,11,12,28,34
77,1,2,5,9,14,17,20,22,23,29,33
78,1,7,11,12,13,18,19,20,31,34
79,1,3,4,5,7,9,10,11,13,14,16,17,19,22,27,28
80,7,9,10,24,25,32,34
81,5,9,19,24,29,31,32,33,34
82,2,11,16,27,28,31
83,1,9,18,22,24,25,30,31,33
84,3,11,15,20,21,22,32
85,5,10,29,34
86,15,21,23,24,30,32
87,24,25,28,33,34
88,9,10,14,20,21,23,30,31,34
89,3,10,24,33,34
90,2,8,9,10,14,15,16,20,21,31,32,34
91,3,4,8,18,19,22,31
92,1,2,3,8,9,10
93,1,2,6,8,10,11,22
94,5,13,17,18,31
95,6,7,34
96,1,7,9,11,16,17,19,28,30,33
97,11,14,17,18,22,25,30,31,33
98,1,3,7,9,15,16,23,27,30,33
99,3,5,9,10,14,19,20,22,28,33
100,4,9,16,19,21,23,33
